"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,source
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030256,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030259,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030271,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030272,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030273,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030274,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030279,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030281,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030282,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030283,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030284,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030285,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030289,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030290,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030311,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030312,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030313,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030314,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030319,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030323,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030324,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030325,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030326,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030329,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030331,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030332,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030333,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030334,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030339,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030341,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030342,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030343,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030344,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030345,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030346,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030349,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030351,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030353,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030354,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030355,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030356,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030357,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030363,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030364,A000,World,12,CTS
